Status Rekening,Durasi dalam bulan,Riwayat Kredit,Tujuan Kredit,Jumlah Kredit (DM),Tabungan/Bonds,Pekerjaan Saat Ini,Tingkat Angsuran (%),Status Pribadi dan Jenis Kelamin,Debitur / Penjamin,Tinggal di Tempat Saat Ini,Properti,Usia (tahun),Rencana Angsuran Lain,Tempat Tinggal,Jumlah Kredit di Bank Ini,Pekerjaan,Jumlah Tanggungan,Nomor Telepon,Pekerja Migran,Kelayakan Kredit
Tidak ada rekening,6,Tidak pernah kredit / selalu lancar,Mobil baru,1204,100-499 DM,1-4 thn,4,Pria lajang,Tidak ada,1,Tidak ada / tidak tahu,35,Bank,Sewa,1,Terampil / pegawai,1,Tidak ada,Bukan,Baik
>= 200 DM / gaji tetap,24,Kredit berjalan lancar,Furniture,1925,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Properti,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,18,Kredit berjalan lancar,TV / Radio,433,< 100 DM,Menganggur,3,Wanita menikah/cerai,Ko-pemohon,4,Properti,22,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,6,Masalah / kredit di luar bank,Mobil baru,666,>= 1000 DM,4-7 thn,3,Wanita menikah/cerai,Tidak ada,4,Properti,39,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Ada,Ya,Baik
>= 200 DM / gaji tetap,12,Kredit berjalan lancar,Furniture,2251,< 100 DM,1-4 thn,1,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,46,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,30,Kredit berjalan lancar,Mobil baru,2150,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Penjamin,2,Tidak ada / tidak tahu,24,Bank,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Pernah telat bayar,Furniture,4151,100-499 DM,1-4 thn,2,Pria lajang,Tidak ada,3,Tabungan/Asuransi,35,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,9,Kredit berjalan lancar,Furniture,2030,Tidak ada / tidak tahu,4-7 thn,2,Pria lajang,Tidak ada,1,Mobil / lainnya,24,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,60,Pernah telat bayar,TV / Radio,7418,Tidak ada / tidak tahu,1-4 thn,1,Pria lajang,Tidak ada,1,Properti,27,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Masalah / kredit di luar bank,TV / Radio,2684,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Properti,35,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,12,Kredit di bank ini lancar,TV / Radio,2149,< 100 DM,1-4 thn,4,Pria cerai/pisah,Tidak ada,1,Tidak ada / tidak tahu,29,Tidak ada,Gratis,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,15,Kredit berjalan lancar,Mobil bekas,3812,100-499 DM,< 1 thn,1,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,23,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,11,Masalah / kredit di luar bank,TV / Radio,1154,100-499 DM,Menganggur,4,Wanita menikah/cerai,Tidak ada,4,Properti,57,Tidak ada,Milik sendiri,3,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Furniture,1657,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Properti,27,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,24,Kredit berjalan lancar,TV / Radio,1603,< 100 DM,>= 7 thn,4,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,55,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,18,Masalah / kredit di luar bank,Mobil baru,5302,< 100 DM,>= 7 thn,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,36,Tidak ada,Gratis,3,Manajer / profesional,1,Ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Pendidikan,2748,< 100 DM,>= 7 thn,2,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,57,Bank,Gratis,3,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,10,Masalah / kredit di luar bank,Mobil baru,1231,< 100 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Properti,32,Tidak ada,Milik sendiri,2,Tidak terampil (residen),2,Tidak ada,Bukan,Baik
0-199 DM,15,Kredit berjalan lancar,TV / Radio,802,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,3,Mobil / lainnya,37,Tidak ada,Milik sendiri,1,Terampil / pegawai,2,Tidak ada,Ya,Buruk
Tidak ada rekening,36,Masalah / kredit di luar bank,Bisnis,6304,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,36,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,1533,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,3,Mobil / lainnya,38,Toko,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,14,Kredit berjalan lancar,Mobil baru,8978,< 100 DM,>= 7 thn,1,Pria cerai/pisah,Tidak ada,4,Tabungan/Asuransi,45,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Bukan,Buruk
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,999,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,25,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,18,Kredit berjalan lancar,Mobil baru,2662,Tidak ada / tidak tahu,4-7 thn,4,Pria lajang,Tidak ada,3,Tabungan/Asuransi,32,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Bukan,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Furniture,1402,500-999 DM,4-7 thn,3,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,37,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,48,Kredit di bank ini lancar,Mobil baru,12169,Tidak ada / tidak tahu,Menganggur,4,Pria lajang,Ko-pemohon,4,Tidak ada / tidak tahu,36,Tidak ada,Gratis,1,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,48,Kredit berjalan lancar,TV / Radio,3060,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,4,Properti,28,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,30,Kredit berjalan lancar,Renovasi,11998,< 100 DM,< 1 thn,1,Pria cerai/pisah,Tidak ada,1,Tidak ada / tidak tahu,34,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Buruk
Tidak ada rekening,9,Kredit berjalan lancar,TV / Radio,2697,< 100 DM,1-4 thn,1,Pria lajang,Tidak ada,2,Properti,32,Tidak ada,Milik sendiri,1,Terampil / pegawai,2,Tidak ada,Ya,Baik
Tidak ada rekening,18,Masalah / kredit di luar bank,TV / Radio,2404,< 100 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,26,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Furniture,1262,Tidak ada / tidak tahu,>= 7 thn,2,Pria cerai/pisah,Tidak ada,4,Tabungan/Asuransi,49,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Baik
Tidak ada rekening,6,Kredit berjalan lancar,Furniture,4611,< 100 DM,< 1 thn,1,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,32,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,1901,100-499 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,29,Tidak ada,Sewa,1,Manajer / profesional,1,Ada,Ya,Baik
Tidak ada rekening,15,Masalah / kredit di luar bank,Mobil bekas,3368,>= 1000 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,23,Tidak ada,Sewa,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,Furniture,1574,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Properti,50,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,18,Kredit di bank ini lancar,TV / Radio,1445,Tidak ada / tidak tahu,4-7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,49,Bank,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,15,Masalah / kredit di luar bank,Furniture,1520,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tabungan/Asuransi,63,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,24,Masalah / kredit di luar bank,Mobil baru,3878,100-499 DM,< 1 thn,4,Pria cerai/pisah,Tidak ada,2,Mobil / lainnya,37,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,47,Kredit berjalan lancar,Mobil baru,10722,< 100 DM,< 1 thn,1,Wanita menikah/cerai,Tidak ada,1,Properti,35,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Baik
< 0 DM,48,Kredit berjalan lancar,Mobil bekas,4788,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,3,Tabungan/Asuransi,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,2,Tidak ada,Ya,Baik
0-199 DM,48,Pernah telat bayar,Lainnya,7582,100-499 DM,Menganggur,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,31,Tidak ada,Gratis,1,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,TV / Radio,1092,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Penjamin,4,Properti,49,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,24,Pernah telat bayar,TV / Radio,1024,< 100 DM,< 1 thn,4,Pria menikah/duda,Tidak ada,4,Properti,48,Toko,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Kredit berjalan lancar,Bisnis,1076,< 100 DM,1-4 thn,2,Pria menikah/duda,Tidak ada,2,Properti,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Bukan,Baik
0-199 DM,36,Kredit berjalan lancar,Mobil bekas,9398,< 100 DM,< 1 thn,1,Pria menikah/duda,Tidak ada,4,Mobil / lainnya,28,Tidak ada,Sewa,1,Manajer / profesional,1,Ada,Ya,Buruk
< 0 DM,24,Masalah / kredit di luar bank,Mobil bekas,6419,< 100 DM,>= 7 thn,2,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,44,Tidak ada,Gratis,2,Manajer / profesional,2,Ada,Ya,Baik
>= 200 DM / gaji tetap,42,Masalah / kredit di luar bank,Mobil bekas,4796,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,56,Tidak ada,Gratis,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,48,Masalah / kredit di luar bank,Bisnis,7629,Tidak ada / tidak tahu,>= 7 thn,4,Pria cerai/pisah,Tidak ada,2,Mobil / lainnya,46,Bank,Milik sendiri,2,Manajer / profesional,2,Tidak ada,Ya,Baik
0-199 DM,48,Kredit berjalan lancar,Furniture,9960,< 100 DM,< 1 thn,1,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,12,Kredit berjalan lancar,Mobil bekas,4675,Tidak ada / tidak tahu,< 1 thn,1,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,20,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,10,Kredit berjalan lancar,Mobil baru,1287,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Ko-pemohon,2,Tabungan/Asuransi,45,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Bukan,Baik
Tidak ada rekening,18,Kredit berjalan lancar,Furniture,2515,< 100 DM,1-4 thn,3,Pria lajang,Tidak ada,4,Properti,43,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,21,Masalah / kredit di luar bank,Furniture,2745,>= 1000 DM,4-7 thn,3,Pria lajang,Tidak ada,2,Mobil / lainnya,32,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,6,Kredit berjalan lancar,Mobil baru,672,< 100 DM,Menganggur,1,Wanita menikah/cerai,Tidak ada,4,Properti,54,Tidak ada,Milik sendiri,1,Pengangguran / tidak terampil (non-residen),1,Ada,Ya,Baik
0-199 DM,36,Tidak pernah kredit / selalu lancar,TV / Radio,3804,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,1,Mobil / lainnya,42,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
>= 200 DM / gaji tetap,24,Masalah / kredit di luar bank,Mobil baru,1344,Tidak ada / tidak tahu,4-7 thn,4,Pria lajang,Tidak ada,2,Properti,37,Bank,Milik sendiri,2,Tidak terampil (residen),2,Tidak ada,Ya,Buruk
< 0 DM,10,Masalah / kredit di luar bank,Mobil baru,1038,< 100 DM,4-7 thn,4,Pria lajang,Ko-pemohon,3,Tabungan/Asuransi,49,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,48,Masalah / kredit di luar bank,Mobil baru,10127,500-999 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Tidak ada / tidak tahu,44,Bank,Gratis,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,6,Kredit berjalan lancar,Furniture,1543,>= 1000 DM,1-4 thn,4,Pria cerai/pisah,Tidak ada,2,Properti,33,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,30,Kredit berjalan lancar,Mobil bekas,4811,Tidak ada / tidak tahu,4-7 thn,2,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,24,Toko,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,TV / Radio,727,100-499 DM,< 1 thn,4,Pria menikah/duda,Tidak ada,3,Tidak ada / tidak tahu,33,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Buruk
0-199 DM,8,Kredit berjalan lancar,Furniture,1237,< 100 DM,1-4 thn,3,Wanita menikah/cerai,Tidak ada,4,Properti,24,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,9,Kredit berjalan lancar,Mobil baru,276,< 100 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,4,Properti,22,Tidak ada,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,48,Kredit berjalan lancar,Lainnya,5381,Tidak ada / tidak tahu,Menganggur,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,40,Bank,Gratis,1,Pengangguran / tidak terampil (non-residen),1,Ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Furniture,5511,100-499 DM,1-4 thn,4,Pria lajang,Tidak ada,1,Mobil / lainnya,25,Toko,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,24,Kredit berjalan lancar,Furniture,3749,< 100 DM,< 1 thn,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,Mobil baru,685,< 100 DM,4-7 thn,2,Pria menikah/duda,Tidak ada,3,Mobil / lainnya,25,Bank,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
>= 200 DM / gaji tetap,4,Kredit berjalan lancar,Mobil baru,1494,Tidak ada / tidak tahu,< 1 thn,1,Pria lajang,Tidak ada,2,Properti,29,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Bukan,Baik
< 0 DM,36,Kredit di bank ini lancar,Furniture,2746,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,31,Bank,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,12,Kredit berjalan lancar,Furniture,708,< 100 DM,1-4 thn,2,Pria lajang,Penjamin,3,Tabungan/Asuransi,38,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Ya,Baik
0-199 DM,24,Kredit berjalan lancar,Furniture,4351,Tidak ada / tidak tahu,1-4 thn,1,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,48,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Pendidikan,701,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,32,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,15,Pernah telat bayar,Furniture,3643,< 100 DM,>= 7 thn,1,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,27,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,30,Masalah / kredit di luar bank,Mobil baru,4249,< 100 DM,Menganggur,4,Pria menikah/duda,Tidak ada,2,Mobil / lainnya,28,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Tidak ada,Ya,Buruk
< 0 DM,24,Kredit berjalan lancar,TV / Radio,1938,< 100 DM,< 1 thn,4,Pria cerai/pisah,Tidak ada,3,Tabungan/Asuransi,32,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,24,Kredit berjalan lancar,Mobil bekas,2910,< 100 DM,4-7 thn,2,Pria lajang,Tidak ada,1,Tidak ada / tidak tahu,34,Tidak ada,Gratis,1,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,Furniture,2659,>= 1000 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,28,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,18,Masalah / kredit di luar bank,Mobil baru,1028,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,3,Properti,36,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,8,Masalah / kredit di luar bank,Mobil baru,3398,< 100 DM,4-7 thn,1,Pria lajang,Tidak ada,4,Properti,39,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Bukan,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Furniture,5801,Tidak ada / tidak tahu,>= 7 thn,2,Pria lajang,Tidak ada,4,Tabungan/Asuransi,49,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Mobil baru,1525,>= 1000 DM,4-7 thn,4,Wanita menikah/cerai,Tidak ada,3,Mobil / lainnya,34,Tidak ada,Milik sendiri,1,Terampil / pegawai,2,Ada,Ya,Baik
>= 200 DM / gaji tetap,36,Kredit berjalan lancar,TV / Radio,4473,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,31,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,6,Kredit berjalan lancar,TV / Radio,1068,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,28,Tidak ada,Milik sendiri,1,Terampil / pegawai,2,Tidak ada,Ya,Baik
< 0 DM,24,Masalah / kredit di luar bank,Mobil bekas,6615,< 100 DM,Menganggur,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,75,Tidak ada,Gratis,2,Manajer / profesional,1,Ada,Ya,Baik
Tidak ada rekening,18,Masalah / kredit di luar bank,Pendidikan,1864,100-499 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,2,Properti,30,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,60,Kredit berjalan lancar,Mobil baru,7408,100-499 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,24,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Tidak ada,Ya,Buruk
Tidak ada rekening,48,Masalah / kredit di luar bank,Mobil bekas,11590,100-499 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,24,Bank,Sewa,2,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
< 0 DM,24,Tidak pernah kredit / selalu lancar,Furniture,4110,< 100 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,23,Bank,Sewa,2,Terampil / pegawai,2,Tidak ada,Ya,Buruk
< 0 DM,6,Masalah / kredit di luar bank,Furniture,3384,< 100 DM,1-4 thn,1,Pria cerai/pisah,Tidak ada,4,Properti,44,Tidak ada,Sewa,1,Manajer / profesional,1,Ada,Ya,Buruk
0-199 DM,13,Kredit berjalan lancar,TV / Radio,2101,< 100 DM,< 1 thn,2,Wanita menikah/cerai,Penjamin,4,Tabungan/Asuransi,23,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,15,Kredit berjalan lancar,Peralatan rumah,1275,Tidak ada / tidak tahu,1-4 thn,4,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,24,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,24,Kredit berjalan lancar,Furniture,4169,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Tabungan/Asuransi,28,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,10,Kredit berjalan lancar,Furniture,1521,< 100 DM,1-4 thn,4,Pria cerai/pisah,Tidak ada,2,Mobil / lainnya,31,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,24,Masalah / kredit di luar bank,Pendidikan,5743,< 100 DM,< 1 thn,2,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,24,Tidak ada,Gratis,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,21,Kredit berjalan lancar,Furniture,3599,< 100 DM,4-7 thn,1,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,26,Tidak ada,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,TV / Radio,3213,500-999 DM,< 1 thn,1,Pria menikah/duda,Tidak ada,3,Properti,25,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,Bisnis,4439,< 100 DM,>= 7 thn,1,Pria lajang,Ko-pemohon,1,Properti,33,Bank,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
>= 200 DM / gaji tetap,10,Kredit berjalan lancar,Mobil baru,3949,< 100 DM,< 1 thn,1,Pria lajang,Penjamin,1,Tabungan/Asuransi,37,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Ya,Baik
Tidak ada rekening,15,Masalah / kredit di luar bank,TV / Radio,1459,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,43,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,13,Masalah / kredit di luar bank,TV / Radio,882,< 100 DM,< 1 thn,4,Pria lajang,Penjamin,4,Properti,23,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,24,Kredit berjalan lancar,TV / Radio,3758,500-999 DM,Menganggur,1,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,23,Tidak ada,Sewa,1,Pengangguran / tidak terampil (non-residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,6,Pernah telat bayar,Bisnis,1743,100-499 DM,1-4 thn,1,Pria lajang,Tidak ada,2,Properti,34,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,9,Masalah / kredit di luar bank,Pendidikan,1136,>= 1000 DM,>= 7 thn,4,Pria lajang,Tidak ada,3,Tidak ada / tidak tahu,32,Tidak ada,Gratis,2,Terampil / pegawai,2,Tidak ada,Ya,Buruk
Tidak ada rekening,9,Kredit berjalan lancar,Peralatan rumah,1236,< 100 DM,< 1 thn,1,Wanita menikah/cerai,Tidak ada,4,Properti,23,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,9,Kredit berjalan lancar,Furniture,959,< 100 DM,1-4 thn,1,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,29,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Bukan,Buruk
Tidak ada rekening,18,Masalah / kredit di luar bank,Mobil bekas,3229,Tidak ada / tidak tahu,Menganggur,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,38,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,12,Tidak pernah kredit / selalu lancar,TV / Radio,6199,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,28,Tidak ada,Sewa,2,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,10,Kredit berjalan lancar,Pendidikan,727,500-999 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,46,Tidak ada,Gratis,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,24,Kredit berjalan lancar,Mobil baru,1246,< 100 DM,< 1 thn,4,Pria lajang,Tidak ada,2,Properti,23,Toko,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Masalah / kredit di luar bank,TV / Radio,2331,Tidak ada / tidak tahu,>= 7 thn,1,Pria lajang,Ko-pemohon,4,Properti,49,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,36,Pernah telat bayar,TV / Radio,4463,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,26,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Buruk
Tidak ada rekening,12,Kredit berjalan lancar,TV / Radio,776,< 100 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,2,Properti,28,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
